figi,name,ticker,exchCode,compositeFIGI,uniqueID,securityType,marketSector,shareClassFIGI,uniqueIDFutOpt,securityType2,securityDescription
BBG0025Y4RY4,ABBVIE INC,ABBV,US,BBG0025Y4RY4,,Common Stock,Equity,BBG0025Y4RZ3,,Common Stock,ABBV
BBG000C101X4,ABIOMED INC,ABMD,US,BBG000C101X4,,Common Stock,Equity,BBG001S64SQ9,,Common Stock,ABMD
BBG000D9D830,ACCENTURE PLC-CL A,ACN,US,BBG000D9D830,,Common Stock,Equity,BBG001SCXK90,,Common Stock,ACN
BBG000CVWGS6,ACTIVISION BLIZZARD INC,ATVI,US,BBG000CVWGS6,,Common Stock,Equity,BBG001S6C009,,Common Stock,ATVI
BBG000BB5006,ADOBE INC,ADBE,US,BBG000BB5006,,Common Stock,Equity,BBG001S5NCQ5,,Common Stock,ADBE
BBG000BBQCY0,ADVANCED MICRO DEVICES,AMD,US,BBG000BBQCY0,,Common Stock,Equity,BBG001S5NN36,,Common Stock,AMD
BBG000F7RCJ1,ADVANCE AUTO PARTS INC,AAP,US,BBG000F7RCJ1,,Common Stock,Equity,BBG001SD2SB2,,Common Stock,AAP
BBG000C23KJ3,AES CORP,AES,US,BBG000C23KJ3,,Common Stock,Equity,BBG001S6B1L5,,Common Stock,AES
BBG000BBBNC6,AFLAC INC,AFL,US,BBG000BBBNC6,,Common Stock,Equity,BBG001S5NGJ4,,Common Stock,AFL
BBG000C2V3D6,AGILENT TECHNOLOGIES INC,A,US,BBG000C2V3D6,,Common Stock,Equity,BBG001SCTQY4,,Common Stock,A
BBG000BC4JJ4,AIR PRODUCTS & CHEMICALS INC,APD,US,BBG000BC4JJ4,,Common Stock,Equity,BBG001S5NSB6,,Common Stock,APD
BBG000BJQWD2,AKAMAI TECHNOLOGIES INC,AKAM,US,BBG000BJQWD2,,Common Stock,Equity,BBG001S7YHX0,,Common Stock,AKAM
BBG000BBL0Y1,ALASKA AIR GROUP INC,ALK,US,BBG000BBL0Y1,,Common Stock,Equity,BBG001S5NLG6,,Common Stock,ALK
BBG000BJ26K7,ALBEMARLE CORP,ALB,US,BBG000BJ26K7,,Common Stock,Equity,BBG001S7SBP9,,Common Stock,ALB
BBG000BC33T9,ALEXANDRIA REAL ESTATE EQUIT,ARE,US,BBG000BC33T9,,REIT,Equity,BBG001S6CPH6,,REIT,ARE
BBG000BRNLL2,ALIGN TECHNOLOGY INC,ALGN,US,BBG000BRNLL2,,Common Stock,Equity,BBG001SCF1B9,,Common Stock,ALGN
BBG003PS7JV1,ALLEGION PLC,ALLE,US,BBG003PS7JV1,,Common Stock,Equity,BBG003PS7JW0,,Common Stock,ALLE
BBG000BVMGF2,ALLSTATE CORP,ALL,US,BBG000BVMGF2,,Common Stock,Equity,BBG001S9BM06,,Common Stock,ALL
BBG000BVPV84,AMAZON.COM INC,AMZN,US,BBG000BVPV84,,Common Stock,Equity,BBG001S5PQL7,,Common Stock,AMZN
BBG00LNJRQ09,AMCOR PLC,AMCR,US,BBG00LNJRQ09,,Common Stock,Equity,BBG00LNJRQ18,,Common Stock,AMCR
BBG000B9X8C0,AMEREN CORPORATION,AEE,US,BBG000B9X8C0,,Common Stock,Equity,BBG001S5NF24,,Common Stock,AEE
BBG005P7Q881,AMERICAN AIRLINES GROUP INC,AAL,US,BBG005P7Q881,,Common Stock,Equity,BBG005P7Q907,,Common Stock,AAL
BBG000BB9KF2,AMERICAN ELECTRIC POWER,AEP,US,BBG000BB9KF2,,Common Stock,Equity,BBG001S5NFD2,,Common Stock,AEP
BBG000BCQZS4,AMERICAN EXPRESS CO,AXP,US,BBG000BCQZS4,,Common Stock,Equity,BBG001S5P034,,Common Stock,AXP
BBG000BBDZG3,AMERICAN INTERNATIONAL GROUP,AIG,US,BBG000BBDZG3,,Common Stock,Equity,BBG001S5NJG1,,Common Stock,AIG
BBG000B9XYV2,AMERICAN TOWER CORP,AMT,US,BBG000B9XYV2,,REIT,Equity,BBG001S5NPQ6,,REIT,AMT
BBG000TRJ294,AMERICAN WATER WORKS CO INC,AWK,US,BBG000TRJ294,,Common Stock,Equity,BBG001SPHYW3,,Common Stock,AWK
BBG000G3QLY3,AMERIPRISE FINANCIAL INC,AMP,US,BBG000G3QLY3,,Common Stock,Equity,BBG001SK6096,,Common Stock,AMP
BBG000MDCQC2,AMERISOURCEBERGEN CORP,ABC,US,BBG000MDCQC2,,Common Stock,Equity,BBG001S8X7P0,,Common Stock,ABC
BBG000B9XG87,AMETEK INC,AME,US,BBG000B9XG87,,Common Stock,Equity,BBG001S5NN54,,Common Stock,AME
BBG000BBS2Y0,AMGEN INC,AMGN,US,BBG000BBS2Y0,,Common Stock,Equity,BBG001S5NNL6,,Common Stock,AMGN
BBG000B9YJ35,AMPHENOL CORP-CL A,APH,US,BBG000B9YJ35,,Common Stock,Equity,BBG001S5NSK6,,Common Stock,APH
BBG000BB6G37,ANALOG DEVICES INC,ADI,US,BBG000BB6G37,,Common Stock,Equity,BBG001S5ND38,,Common Stock,ADI
BBG000GXZ4W7,ANSYS INC,ANSS,US,BBG000GXZ4W7,,Common Stock,Equity,BBG001S926L8,,Common Stock,ANSS
BBG000BCG930,ANTHEM INC,ANTM,US,BBG000BCG930,,Common Stock,Equity,BBG001S6KBQ8,,Common Stock,ANTM
BBG00SSQFPK6,AON PLC-CLASS A,AON,US,BBG00SSQFPK6,,Common Stock,Equity,BBG00SSQFPR9,,Common Stock,AON
BBG000BC1L02,SMITH (A.O.) CORP,AOS,US,BBG000BC1L02,,Common Stock,Equity,BBG001S5NRY3,,Common Stock,AOS
BBG00YTS96G2,APA CORP,APA,US,BBG00YTS96G2,,Common Stock,Equity,BBG00YTS96H1,,Common Stock,APA
BBG000B9XRY4,APPLE INC,AAPL,US,BBG000B9XRY4,,Common Stock,Equity,BBG001S5N8V8,,Common Stock,AAPL
BBG000BBPFB9,APPLIED MATERIALS INC,AMAT,US,BBG000BBPFB9,,Common Stock,Equity,BBG001S5NMM7,,Common Stock,AMAT
BBG001QD41M9,APTIV PLC,APTV,US,BBG001QD41M9,,Common Stock,Equity,BBG001TRL2T7,,Common Stock,APTV
BBG000BB6WG8,ARCHER-DANIELS-MIDLAND CO,ADM,US,BBG000BB6WG8,,Common Stock,Equity,BBG001S5ND74,,Common Stock,ADM
BBG000N2HDY5,ARISTA NETWORKS INC,ANET,US,BBG000N2HDY5,,Common Stock,Equity,BBG001T51KQ0,,Common Stock,ANET
BBG000BBHXQ3,ARTHUR J GALLAGHER & CO,AJG,US,BBG000BBHXQ3,,Common Stock,Equity,BBG001S5NKC2,,Common Stock,AJG
BBG000BZX1N5,ASSURANT INC,AIZ,US,BBG000BZX1N5,,Common Stock,Equity,BBG001SD9DW5,,Common Stock,AIZ
BBG000BRNGM2,ATMOS ENERGY CORP,ATO,US,BBG000BRNGM2,,Common Stock,Equity,BBG001S5VG05,,Common Stock,ATO
BBG000BM7HL0,AUTODESK INC,ADSK,US,BBG000BM7HL0,,Common Stock,Equity,BBG001S5SCD4,,Common Stock,ADSK
BBG000JG0547,AUTOMATIC DATA PROCESSING,ADP,US,BBG000JG0547,,Common Stock,Equity,BBG001S82KF6,,Common Stock,ADP
BBG000C7LMS8,AUTOZONE INC,AZO,US,BBG000C7LMS8,,Common Stock,Equity,BBG001S6Q5D9,,Common Stock,AZO
